,0
2013-09-05,
2013-09-06,67.64
2013-09-07,67.04
2013-09-08,72.23
2013-09-09,71.43
2013-09-10,
2013-09-11,
2013-09-12,71.63
2013-09-13,69.84
2013-09-14,69.44
2013-09-15,69.44
2013-09-16,71.23
2013-09-17,70.64
2013-09-18,70.24
2013-09-19,73.23
2013-09-20,
2013-09-21,
2013-09-22,
2013-09-23,70.83
2013-09-24,72.23
2013-09-25,71.83
2013-09-26,72.43
2013-09-27,72.03
2013-09-28,71.43
2013-09-29,72.03
2013-09-30,
2013-10-01,
2013-10-02,67.04
2013-10-03,69.24
2013-10-04,69.24
2013-10-05,68.24
2013-10-06,65.45
2013-10-07,62.65
2013-10-08,
2013-10-09,
2013-10-10,
2013-10-11,62.65
2013-10-12,62.25
2013-10-13,60.06
2013-10-14,
2013-10-15,
2013-10-16,58.66
2013-10-17,58.66
2013-10-18,58.66
2013-10-19,60.26
2013-10-20,
2013-10-21,
2013-10-22,59.66
2013-10-23,59.26
2013-10-24,60.26
2013-10-25,50.68
2013-10-26,53.48
2013-10-27,55.47
2013-10-28,
2013-10-29,
2013-10-30,58.06
2013-10-31,56.07
2013-11-01,47.89
2013-11-02,45.49
2013-11-03,55.47
2013-11-04,57.07
2013-11-05,
2013-11-06,
2013-11-07,60.46
2013-11-08,54.67
2013-11-09,51.08
2013-11-10,61.06
2013-11-11,59.46
2013-11-12,68.24
2013-11-13,59.66
2013-11-14,70.24
2013-11-15,63.45
2013-11-16,70.44
2013-11-17,67.44
2013-11-18,71.43
2013-11-19,
2013-11-20,65.45
2013-11-21,61.46
2013-11-22,62.06
2013-11-23,60.26
2013-11-24,62.06
2013-11-25,60.26
2013-11-26,53.28
2013-11-27,
2013-11-28,
2013-11-29,65.05
2013-11-30,71.63
2013-12-01,73.63
2013-12-02,69.64
2013-12-03,62.65
2013-12-04,58.46
2013-12-05,
2013-12-06,
2013-12-07,66.84
2013-12-08,
2013-12-09,
2013-12-10,46.49
2013-12-11,46.69
2013-12-12,59.86
2013-12-13,57.27
2013-12-14,57.07
2013-12-15,67.04
2013-12-16,64.05
2013-12-17,50.48
2013-12-18,58.06
2013-12-19,63.45
2013-12-20,52.28
2013-12-21,
2013-12-22,48.29
2013-12-23,
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,
2013-12-28,
2013-12-29,
2013-12-30,
2013-12-31,
2014-01-01,
2014-01-02,
2014-01-03,
2014-01-04,
2014-01-05,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,
2014-01-11,
2014-01-12,
2014-01-13,
2014-01-14,
2014-01-15,
2014-01-16,
2014-01-17,
2014-01-18,
2014-01-19,
2014-01-20,
2014-01-21,
2014-01-22,
2014-01-23,
2014-01-24,
2014-01-25,
2014-01-26,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-01-31,
2014-02-01,
2014-02-02,
2014-02-03,
2014-02-04,
2014-02-05,
2014-02-06,
2014-02-07,
2014-02-08,
2014-02-09,
2014-02-10,
2014-02-11,
2014-02-12,
2014-02-13,
2014-02-14,
2014-02-15,
2014-02-16,
2014-02-17,
2014-02-18,
2014-02-19,
2014-02-20,
2014-02-21,
2014-02-22,
2014-02-23,
2014-02-24,
2014-02-25,
2014-02-26,
2014-02-27,
2014-02-28,
2014-03-01,
2014-03-02,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-08,
2014-03-09,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-15,
2014-03-16,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-22,
2014-03-23,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-29,
2014-03-30,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-05,
2014-04-06,
2014-04-07,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-12,
2014-04-13,
2014-04-14,
2014-04-15,
2014-04-16,
2014-04-17,
2014-04-18,
2014-04-19,
2014-04-20,
2014-04-21,
2014-04-22,
2014-04-23,
2014-04-24,
2014-04-25,
2014-04-26,
2014-04-27,
2014-04-28,
2014-04-29,
2014-04-30,
2014-05-01,
2014-05-02,
2014-05-03,
2014-05-04,
2014-05-05,
2014-05-06,
2014-05-07,
2014-05-08,
2014-05-09,
2014-05-10,
2014-05-11,
2014-05-12,
2014-05-13,
2014-05-14,
2014-05-15,
2014-05-16,
2014-05-17,
2014-05-18,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-24,
2014-05-25,
2014-05-26,
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-05-31,
2014-06-01,
2014-06-02,
2014-06-03,
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-07,
2014-06-08,
2014-06-09,
2014-06-10,
2014-06-11,
2014-06-12,
2014-06-13,
2014-06-14,
2014-06-15,
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,
2014-06-20,
2014-06-21,
2014-06-22,
2014-06-23,
2014-06-24,
2014-06-25,
2014-06-26,
2014-06-27,
2014-06-28,
2014-06-29,
2014-06-30,
2014-07-01,
2014-07-02,
2014-07-03,
2014-07-04,
2014-07-05,
2014-07-06,
2014-07-07,
2014-07-08,
2014-07-09,
2014-07-10,
2014-07-11,
2014-07-12,
2014-07-13,
2014-07-14,
2014-07-15,
2014-07-16,
2014-07-17,
2014-07-18,
2014-07-19,
2014-07-20,
2014-07-21,
2014-07-22,
2014-07-23,
2014-07-24,
2014-07-25,
2014-07-26,
2014-07-27,
2014-07-28,
2014-07-29,
2014-07-30,
2014-07-31,
2014-08-01,
2014-08-02,
2014-08-03,
2014-08-04,
2014-08-05,
2014-08-06,
2014-08-07,
2014-08-08,
2014-08-09,
2014-08-10,
2014-08-11,
2014-08-12,
2014-08-13,
2014-08-14,
2014-08-15,
2014-08-16,
2014-08-17,
2014-08-18,
2014-08-19,
2014-08-20,
2014-08-21,
2014-08-22,
2014-08-23,
2014-08-24,
2014-08-25,
2014-08-26,
2014-08-27,
2014-08-28,
2014-08-29,
2014-08-30,
2014-08-31,
2014-09-01,
2014-09-02,
2014-09-03,
2014-09-04,
2014-09-05,
2014-09-06,
2014-09-07,
2014-09-08,
2014-09-09,
2014-09-10,
2014-09-11,
2014-09-12,
2014-09-13,
2014-09-14,
2014-09-15,
2014-09-16,
2014-09-17,
2014-09-18,
2014-09-19,
2014-09-20,
2014-09-21,
2014-09-22,
2014-09-23,
2014-09-24,
2014-09-25,
2014-09-26,
2014-09-27,
2014-09-28,
2014-09-29,
2014-09-30,
2014-10-01,
2014-10-02,
2014-10-03,
2014-10-04,
2014-10-05,
2014-10-06,
2014-10-07,
2014-10-08,
2014-10-09,
2014-10-10,
2014-10-11,
2014-10-12,
2014-10-13,
2014-10-14,
2014-10-15,
2014-10-16,
2014-10-17,
2014-10-18,
2014-10-19,
2014-10-20,
2014-10-21,
2014-10-22,
2014-10-23,
2014-10-24,
2014-10-25,
2014-10-26,
2014-10-27,
2014-10-28,
2014-10-29,
2014-10-30,
2014-10-31,
2014-11-01,
2014-11-02,
2014-11-03,
2014-11-04,
2014-11-05,
2014-11-06,
2014-11-07,
2014-11-08,
2014-11-09,
2014-11-10,
2014-11-11,
2014-11-12,
2014-11-13,
2014-11-14,
2014-11-15,
2014-11-16,
2014-11-17,
2014-11-18,
2014-11-19,
2014-11-20,
2014-11-21,
2014-11-22,
2014-11-23,
2014-11-24,
2014-11-25,
2014-11-26,
2014-11-27,
2014-11-28,
2014-11-29,
2014-11-30,
2014-12-01,
2014-12-02,
2014-12-03,
2014-12-04,
2014-12-05,
2014-12-06,
2014-12-07,
2014-12-08,
2014-12-09,
2014-12-10,
2014-12-11,
2014-12-12,
2014-12-13,
2014-12-14,
2014-12-15,
2014-12-16,
2014-12-17,
2014-12-18,
2014-12-19,
2014-12-20,
2014-12-21,
2014-12-22,
2014-12-23,
2014-12-24,
2014-12-25,
2014-12-26,
2014-12-27,
2014-12-28,
2014-12-29,
2014-12-30,
2014-12-31,
2015-01-01,
2015-01-02,
2015-01-03,
2015-01-04,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09,
2015-01-10,
2015-01-11,
2015-01-12,
2015-01-13,
2015-01-14,
2015-01-15,
2015-01-16,
2015-01-17,
2015-01-18,
2015-01-19,
2015-01-20,
2015-01-21,
2015-01-22,
2015-01-23,
2015-01-24,
2015-01-25,
2015-01-26,
2015-01-27,
2015-01-28,
2015-01-29,
2015-01-30,
2015-01-31,
2015-02-01,
2015-02-02,
2015-02-03,
2015-02-04,
2015-02-05,
2015-02-06,
2015-02-07,
2015-02-08,
2015-02-09,
2015-02-10,
2015-02-11,
2015-02-12,
2015-02-13,
2015-02-14,
2015-02-15,
2015-02-16,
2015-02-17,
2015-02-18,
2015-02-19,
2015-02-20,
2015-02-21,
2015-02-22,
2015-02-23,
2015-02-24,
2015-02-25,
2015-02-26,
2015-02-27,
2015-02-28,
2015-03-01,
2015-03-02,
2015-03-03,
2015-03-04,
2015-03-05,
2015-03-06,
2015-03-07,
2015-03-08,
2015-03-09,
2015-03-10,
2015-03-11,
2015-03-12,
2015-03-13,
2015-03-14,
2015-03-15,
2015-03-16,
2015-03-17,
2015-03-18,
2015-03-19,
2015-03-20,
2015-03-21,
2015-03-22,
2015-03-23,
2015-03-24,
2015-03-25,
2015-03-26,
2015-03-27,
2015-03-28,
2015-03-29,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-04,
2015-04-05,
2015-04-06,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-11,
2015-04-12,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-18,
2015-04-19,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-25,
2015-04-26,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-01,
2015-05-02,
2015-05-03,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-09,
2015-05-10,
2015-05-11,
2015-05-12,
2015-05-13,
2015-05-14,
2015-05-15,
2015-05-16,
2015-05-17,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-23,
2015-05-24,
2015-05-25,
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-05-30,
2015-05-31,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-06,
2015-06-07,
2015-06-08,
2015-06-09,
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-13,
2015-06-14,
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-20,
2015-06-21,
2015-06-22,
2015-06-23,
2015-06-24,
2015-06-25,
2015-06-26,
2015-06-27,
2015-06-28,
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-03,
2015-07-04,
2015-07-05,
2015-07-06,
2015-07-07,
2015-07-08,
2015-07-09,
2015-07-10,
2015-07-11,
2015-07-12,
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-18,
2015-07-19,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,
2015-07-24,
2015-07-25,
2015-07-26,
2015-07-27,
2015-07-28,
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-01,
2015-08-02,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,
2015-08-08,
2015-08-09,
2015-08-10,
2015-08-11,
2015-08-12,
2015-08-13,
2015-08-14,
2015-08-15,
2015-08-16,
2015-08-17,
2015-08-18,
2015-08-19,
2015-08-20,
2015-08-21,
2015-08-22,
2015-08-23,
2015-08-24,
2015-08-25,
2015-08-26,
2015-08-27,
2015-08-28,
2015-08-29,
2015-08-30,
2015-08-31,
2015-09-01,
2015-09-02,
2015-09-03,
2015-09-04,
2015-09-05,
2015-09-06,
2015-09-07,
2015-09-08,
2015-09-09,
2015-09-10,
2015-09-11,
2015-09-12,
2015-09-13,
2015-09-14,
2015-09-15,
2015-09-16,
2015-09-17,
2015-09-18,
2015-09-19,
2015-09-20,
2015-09-21,
2015-09-22,
2015-09-23,
2015-09-24,
2015-09-25,
2015-09-26,
2015-09-27,
2015-09-28,
2015-09-29,
2015-09-30,
2015-10-01,
2015-10-02,
2015-10-03,
2015-10-04,
2015-10-05,
2015-10-06,
2015-10-07,
2015-10-08,
2015-10-09,
2015-10-10,
2015-10-11,
2015-10-12,
2015-10-13,
2015-10-14,
2015-10-15,
2015-10-16,
2015-10-17,
2015-10-18,
2015-10-19,
2015-10-20,
2015-10-21,
2015-10-22,
2015-10-23,
2015-10-24,
2015-10-25,
2015-10-26,
2015-10-27,
2015-10-28,
2015-10-29,
2015-10-30,
2015-10-31,
2015-11-01,
2015-11-02,
2015-11-03,
2015-11-04,
2015-11-05,
2015-11-06,
2015-11-07,
2015-11-08,
2015-11-09,
2015-11-10,
2015-11-11,
2015-11-12,
2015-11-13,
2015-11-14,
2015-11-15,
2015-11-16,
2015-11-17,
2015-11-18,
2015-11-19,
2015-11-20,
2015-11-21,
2015-11-22,
2015-11-23,
2015-11-24,
2015-11-25,
2015-11-26,
2015-11-27,
2015-11-28,
2015-11-29,
2015-11-30,
2015-12-01,
2015-12-02,
2015-12-03,
2015-12-04,
2015-12-05,
2015-12-06,
2015-12-07,
2015-12-08,
2015-12-09,
2015-12-10,
2015-12-11,
2015-12-12,
2015-12-13,
2015-12-14,
2015-12-15,
2015-12-16,
2015-12-17,
2015-12-18,
2015-12-19,
2015-12-20,
2015-12-21,
2015-12-22,
2015-12-23,
2015-12-24,
2015-12-25,
2015-12-26,
2015-12-27,
2015-12-28,
2015-12-29,
2015-12-30,
2015-12-31,
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,
2016-01-09,
2016-01-10,
2016-01-11,
2016-01-12,
2016-01-13,
2016-01-14,
2016-01-15,
2016-01-16,
2016-01-17,
2016-01-18,
2016-01-19,
2016-01-20,
2016-01-21,
2016-01-22,
2016-01-23,
2016-01-24,
2016-01-25,
2016-01-26,
2016-01-27,
2016-01-28,
2016-01-29,
2016-01-30,
2016-01-31,
2016-02-01,
2016-02-02,
2016-02-03,
2016-02-04,
2016-02-05,
2016-02-06,
2016-02-07,
2016-02-08,
2016-02-09,
2016-02-10,
2016-02-11,
2016-02-12,
2016-02-13,
2016-02-14,
2016-02-15,
2016-02-16,
2016-02-17,
2016-02-18,
2016-02-19,
2016-02-20,
2016-02-21,
2016-02-22,
2016-02-23,
2016-02-24,
2016-02-25,
2016-02-26,
2016-02-27,
2016-02-28,
2016-02-29,
2016-03-01,
2016-03-02,
2016-03-03,
2016-03-04,
2016-03-05,
2016-03-06,
2016-03-07,
2016-03-08,
2016-03-09,
2016-03-10,
2016-03-11,
2016-03-12,
2016-03-13,
2016-03-14,
2016-03-15,
2016-03-16,
2016-03-17,
2016-03-18,
2016-03-19,
2016-03-20,
2016-03-21,
2016-03-22,
2016-03-23,
2016-03-24,
2016-03-25,
2016-03-26,
2016-03-27,
2016-03-28,
2016-03-29,
2016-03-30,
2016-03-31,
2016-04-01,
2016-04-02,
2016-04-03,
2016-04-04,
2016-04-05,
2016-04-06,
2016-04-07,
2016-04-08,
2016-04-09,
2016-04-10,
2016-04-11,
2016-04-12,
2016-04-13,
2016-04-14,
2016-04-15,
2016-04-16,
2016-04-17,
2016-04-18,
2016-04-19,
2016-04-20,
2016-04-21,
2016-04-22,
2016-04-23,
2016-04-24,
2016-04-25,
2016-04-26,
2016-04-27,
2016-04-28,
2016-04-29,
2016-04-30,
2016-05-01,
2016-05-02,
2016-05-03,
2016-05-04,
2016-05-05,
2016-05-06,
2016-05-07,
2016-05-08,
2016-05-09,
2016-05-10,
2016-05-11,
2016-05-12,
2016-05-13,
2016-05-14,
2016-05-15,
2016-05-16,
2016-05-17,
2016-05-18,
2016-05-19,
2016-05-20,
2016-05-21,
2016-05-22,
2016-05-23,
2016-05-24,
2016-05-25,
2016-05-26,
2016-05-27,
2016-05-28,
2016-05-29,
2016-05-30,
2016-05-31,
2016-06-01,
2016-06-02,
2016-06-03,
2016-06-04,
2016-06-05,
2016-06-06,
2016-06-07,
2016-06-08,
2016-06-09,
2016-06-10,
2016-06-11,
2016-06-12,
2016-06-13,
2016-06-14,
2016-06-15,
2016-06-16,
2016-06-17,
2016-06-18,
2016-06-19,
2016-06-20,
2016-06-21,
2016-06-22,
2016-06-23,
2016-06-24,
2016-06-25,
2016-06-26,
2016-06-27,
2016-06-28,
2016-06-29,
2016-06-30,
2016-07-01,
2016-07-02,
2016-07-03,
2016-07-04,
2016-07-05,
2016-07-06,
2016-07-07,
2016-07-08,
2016-07-09,
2016-07-10,
2016-07-11,
2016-07-12,
2016-07-13,
2016-07-14,
2016-07-15,
2016-07-16,
2016-07-17,
2016-07-18,
2016-07-19,
2016-07-20,
2016-07-21,
2016-07-22,
2016-07-23,
2016-07-24,
2016-07-25,
2016-07-26,
2016-07-27,
2016-07-28,
2016-07-29,
2016-07-30,
2016-07-31,
2016-08-01,
2016-08-02,
2016-08-03,
2016-08-04,
2016-08-05,
2016-08-06,
2016-08-07,
2016-08-08,
2016-08-09,
2016-08-10,
2016-08-11,
2016-08-12,
2016-08-13,
2016-08-14,
2016-08-15,
2016-08-16,
2016-08-17,
2016-08-18,
2016-08-19,
2016-08-20,
2016-08-21,
2016-08-22,
2016-08-23,
2016-08-24,
2016-08-25,
2016-08-26,
2016-08-27,
2016-08-28,
2016-08-29,
2016-08-30,
2016-08-31,
2016-09-01,
2016-09-02,
2016-09-03,
2016-09-04,
2016-09-05,
2016-09-06,
2016-09-07,
2016-09-08,
2016-09-09,
2016-09-10,
2016-09-11,
2016-09-12,
2016-09-13,
2016-09-14,
2016-09-15,
2016-09-16,
2016-09-17,
2016-09-18,
2016-09-19,
2016-09-20,
2016-09-21,
2016-09-22,
2016-09-23,
2016-09-24,
2016-09-25,
2016-09-26,
2016-09-27,
2016-09-28,
2016-09-29,
2016-09-30,
2016-10-01,
2016-10-02,
2016-10-03,
2016-10-04,
2016-10-05,
2016-10-06,
2016-10-07,
2016-10-08,
2016-10-09,
2016-10-10,
2016-10-11,
2016-10-12,
2016-10-13,
2016-10-14,
2016-10-15,
2016-10-16,
2016-10-17,
2016-10-18,
2016-10-19,
2016-10-20,
2016-10-21,
2016-10-22,
2016-10-23,
2016-10-24,
2016-10-25,
2016-10-26,
2016-10-27,
2016-10-28,
2016-10-29,
2016-10-30,
2016-10-31,
2016-11-01,
2016-11-02,
2016-11-03,
2016-11-04,
2016-11-05,
2016-11-06,
2016-11-07,
2016-11-08,
2016-11-09,
2016-11-10,
2016-11-11,
2016-11-12,
2016-11-13,
2016-11-14,
2016-11-15,
2016-11-16,
2016-11-17,
2016-11-18,
2016-11-19,
2016-11-20,
2016-11-21,
2016-11-22,
2016-11-23,
2016-11-24,
2016-11-25,
2016-11-26,
2016-11-27,
2016-11-28,
2016-11-29,
2016-11-30,
2016-12-01,
2016-12-02,
2016-12-03,
2016-12-04,
2016-12-05,
2016-12-06,
2016-12-07,
2016-12-08,
2016-12-09,
2016-12-10,
2016-12-11,
2016-12-12,
2016-12-13,
2016-12-14,
2016-12-15,
2016-12-16,
2016-12-17,
2016-12-18,
2016-12-19,
2016-12-20,
2016-12-21,
2016-12-22,
2016-12-23,
2016-12-24,
2016-12-25,
2016-12-26,
2016-12-27,
2016-12-28,
2016-12-29,
2016-12-30,
2016-12-31,
2017-01-01,71.03
2017-01-02,68.44
2017-01-03,53.48
2017-01-04,52.48
2017-01-05,35.32
2017-01-06,50.48
2017-01-07,66.25
2017-01-08,67.24
2017-01-09,58.86
2017-01-10,56.87
2017-01-11,69.04
2017-01-12,65.25
2017-01-13,54.27
2017-01-14,63.25
2017-01-15,51.48
2017-01-16,75.62
2017-01-17,45.69
2017-01-18,68.64
2017-01-19,66.64
2017-01-20,51.08
2017-01-21,61.86
2017-01-22,54.67
2017-01-23,54.87
2017-01-24,48.09
2017-01-25,
2017-01-26,51.08
2017-01-27,43.7
2017-01-28,40.31
2017-01-29,40.9
2017-01-30,54.67
2017-01-31,47.49
2017-02-01,51.08
2017-02-02,57.27
2017-02-03,59.06
2017-02-04,58.06
2017-02-05,53.48
2017-02-06,57.67
2017-02-07,58.46
2017-02-08,48.69
2017-02-09,48.29
2017-02-10,
2017-02-11,60.66
2017-02-12,61.06
2017-02-13,48.29
2017-02-14,46.49
2017-02-15,42.5
2017-02-16,
2017-02-17,
2017-02-18,50.48
2017-02-19,45.89
2017-02-20,47.49
2017-02-21,49.48
2017-02-22,48.69
2017-02-23,44.1
2017-02-24,46.49
2017-02-25,46.49
2017-02-26,46.89
2017-02-27,43.3
2017-02-28,42.5
2017-03-01,42.3
2017-03-02,49.28
2017-03-03,49.28
2017-03-04,43.7
2017-03-05,44.3
2017-03-06,45.69
2017-03-07,
2017-03-08,41.7
2017-03-09,42.1
2017-03-10,45.89
2017-03-11,45.89
2017-03-12,45.89
2017-03-13,47.09
2017-03-14,46.49
2017-03-15,46.69
2017-03-16,46.69
2017-03-17,48.49
2017-03-18,46.69
2017-03-19,45.29
2017-03-20,44.7
2017-03-21,52.08
2017-03-22,51.68
2017-03-23,49.09
2017-03-24,49.88
2017-03-25,54.87
2017-03-26,54.27
2017-03-27,48.09
2017-03-28,47.29
2017-03-29,46.69
2017-03-30,47.69
2017-03-31,49.68
2017-04-01,50.48
2017-04-02,51.88
2017-04-03,52.28
2017-04-04,52.68
2017-04-05,53.08
2017-04-06,50.08
2017-04-07,50.28
2017-04-08,52.68
2017-04-09,53.48
2017-04-10,53.28
2017-04-11,
2017-04-12,
2017-04-13,50.88
2017-04-14,50.88
2017-04-15,50.68
2017-04-16,56.87
2017-04-17,
2017-04-18,
2017-04-19,53.48
2017-04-20,54.27
2017-04-21,54.87
2017-04-22,54.87
2017-04-23,57.27
2017-04-24,56.67
2017-04-25,57.07
2017-04-26,57.67
2017-04-27,56.87
2017-04-28,
2017-04-29,
2017-04-30,
2017-05-01,
2017-05-02,
2017-05-03,
2017-05-04,
2017-05-05,
2017-05-06,
2017-05-07,
2017-05-08,
2017-05-09,
2017-05-10,
2017-05-11,
2017-05-12,
2017-05-13,
2017-05-14,
2017-05-15,
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,
2017-05-20,
2017-05-21,
2017-05-22,
2017-05-23,
2017-05-24,
2017-05-25,
2017-05-26,65.65
2017-05-27,68.64
2017-05-28,67.24
2017-05-29,65.05
2017-05-30,66.25
2017-05-31,69.44
2017-06-01,70.04
2017-06-02,69.64
2017-06-03,68.04
2017-06-04,69.24
2017-06-05,69.24
2017-06-06,68.84
2017-06-07,68.44
2017-06-08,67.84
2017-06-09,68.04
2017-06-10,69.84
2017-06-11,70.83
2017-06-12,70.83
2017-06-13,70.83
2017-06-14,69.84
2017-06-15,70.44
2017-06-16,69.24
2017-06-17,66.84
2017-06-18,66.64
2017-06-19,67.04
2017-06-20,66.44
2017-06-21,66.44
2017-06-22,66.05
2017-06-23,66.64
2017-06-24,68.24
2017-06-25,69.44
2017-06-26,69.04
2017-06-27,67.84
2017-06-28,68.24
2017-06-29,68.84
2017-06-30,69.04
2017-07-01,68.84
2017-07-02,68.64
2017-07-03,68.84
2017-07-04,68.64
2017-07-05,68.64
2017-07-06,70.04
2017-07-07,70.44
2017-07-08,70.44
2017-07-09,70.04
2017-07-10,69.64
2017-07-11,71.23
2017-07-12,69.64
2017-07-13,70.24
2017-07-14,68.04
2017-07-15,69.44
2017-07-16,69.84
2017-07-17,71.03
2017-07-18,71.23
2017-07-19,
2017-07-20,69.24
2017-07-21,70.64
2017-07-22,71.23
2017-07-23,69.44
2017-07-24,72.03
2017-07-25,
2017-07-26,
2017-07-27,67.24
2017-07-28,66.25
2017-07-29,66.25
2017-07-30,65.45
2017-07-31,69.24
2017-08-01,69.64
2017-08-02,69.24
2017-08-03,72.03
2017-08-04,73.43
2017-08-05,73.63
2017-08-06,74.43
2017-08-07,75.62
2017-08-08,76.42
2017-08-09,69.84
2017-08-10,69.44
2017-08-11,69.64
2017-08-12,70.04
2017-08-13,66.05
2017-08-14,68.64
2017-08-15,66.84
2017-08-16,68.04
2017-08-17,63.65
2017-08-18,68.64
2017-08-19,68.44
2017-08-20,68.24
2017-08-21,72.03
2017-08-22,72.43
2017-08-23,65.65
2017-08-24,66.05
2017-08-25,66.05
2017-08-26,64.05
2017-08-27,64.45
2017-08-28,67.04
2017-08-29,68.04
2017-08-30,70.44
2017-08-31,70.24
2017-09-01,68.04
2017-09-02,70.44
2017-09-03,72.23
2017-09-04,66.64
2017-09-05,72.03
2017-09-06,
2017-09-07,70.64
2017-09-08,70.64
2017-09-09,70.64
2017-09-10,70.24
2017-09-11,64.25
2017-09-12,61.46
2017-09-13,63.25
2017-09-14,67.04
2017-09-15,66.64
2017-09-16,67.04
2017-09-17,69.44
2017-09-18,70.64
2017-09-19,71.03
2017-09-20,70.44
2017-09-21,70.24
2017-09-22,70.24
2017-09-23,66.84
2017-09-24,60.66
2017-09-25,59.26
2017-09-26,
2017-09-27,59.46
2017-09-28,62.85
2017-09-29,59.86
2017-09-30,59.06
2017-10-01,60.46
2017-10-02,60.26
2017-10-03,60.06
2017-10-04,61.46
2017-10-05,60.46
2017-10-06,63.45
2017-10-07,65.65
2017-10-08,65.45
2017-10-09,68.84
2017-10-10,69.44
2017-10-11,68.24
2017-10-12,67.24
2017-10-13,67.44
2017-10-14,69.84
2017-10-15,68.84
2017-10-16,65.85
2017-10-17,62.45
2017-10-18,63.85
2017-10-19,63.05
2017-10-20,59.26
2017-10-21,59.06
2017-10-22,61.86
2017-10-23,60.06
2017-10-24,59.06
2017-10-25,58.66
2017-10-26,56.07
2017-10-27,62.65
2017-10-28,64.45
2017-10-29,64.65
2017-10-30,67.04
2017-10-31,69.04
2017-11-01,70.44
2017-11-02,77.62
2017-11-03,72.43
2017-11-04,72.43
2017-11-05,67.84
2017-11-06,61.26
2017-11-07,56.27
2017-11-08,60.26
2017-11-09,67.44
2017-11-10,68.64
2017-11-11,67.44
2017-11-12,63.05
2017-11-13,73.03
2017-11-14,75.22
2017-11-15,74.63
2017-11-16,64.85
2017-11-17,
2017-11-18,72.83
2017-11-19,73.23
2017-11-20,67.44
2017-11-21,66.64
2017-11-22,68.04
2017-11-23,66.44
2017-11-24,59.86
2017-11-25,58.46
2017-11-26,71.63
2017-11-27,81.01
2017-11-28,81.01
2017-11-29,77.62
2017-11-30,70.83
2017-12-01,60.66
2017-12-02,64.65
2017-12-03,
2017-12-04,
2017-12-05,
2017-12-06,
2017-12-07,
2017-12-08,
2017-12-09,
2017-12-10,
2017-12-11,
2017-12-12,51.88
2017-12-13,63.05
2017-12-14,53.48
2017-12-15,58.06
2017-12-16,79.02
2017-12-17,
2017-12-18,
2017-12-19,71.83
2017-12-20,80.61
2017-12-21,82.81
2017-12-22,60.86
2017-12-23,53.08
2017-12-24,58.26
2017-12-25,71.63
2017-12-26,55.07
2017-12-27,62.65
2017-12-28,67.24
2017-12-29,66.25
2017-12-30,68.04
2017-12-31,
